vendor	layer	name	url
aws	foundation	aws-organizations-best-practices	https://docs.aws.amazon.com/organizations/latest/userguide/orgs_best-practices.html
aws	foundation	aws-control-tower	https://docs.aws.amazon.com/controltower/latest/userguide/what-is-control-tower.html
aws	foundation	aws-security-reference-architecture	https://docs.aws.amazon.com/prescriptive-guidance/latest/security-reference-architecture/introduction.html
aws	foundation	aws-iam-identity-center	https://docs.aws.amazon.com/singlesignon/latest/userguide/what-is.html
aws	foundation	aws-cloudtrail-best-practices	https://docs.aws.amazon.com/awscloudtrail/latest/userguide/best-practices-security.html
aws	foundation	aws-cost-management	https://docs.aws.amazon.com/cost-management/latest/userguide/what-is-costmanagement.html
aws	shared-platform	aws-eks-best-practices	https://aws.github.io/aws-eks-best-practices/
aws	shared-platform	aws-managed-grafana	https://docs.aws.amazon.com/grafana/latest/userguide/what-is-Amazon-Managed-Service-Grafana.html
aws	shared-platform	aws-managed-prometheus	https://docs.aws.amazon.com/prometheus/latest/userguide/what-is-Amazon-Managed-Service-Prometheus.html
aws	shared-platform	aws-secrets-manager-best-practices	https://docs.aws.amazon.com/secretsmanager/latest/userguide/best-practices.html
aws	product	aws-well-architected-framework	https://docs.aws.amazon.com/wellarchitected/latest/framework/welcome.html
aws	product	aws-rds-postgresql	https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_PostgreSQL.html
aws	product	aws-elasticache-redis	https://docs.aws.amazon.com/AmazonElastiCache/latest/red-ug/WhatIs.html
azure	foundation	azure-landing-zone	https://learn.microsoft.com/ja-jp/azure/cloud-adoption-framework/ready/landing-zone/
azure	foundation	azure-management-groups	https://learn.microsoft.com/ja-jp/azure/governance/management-groups/overview
azure	foundation	azure-policy	https://learn.microsoft.com/ja-jp/azure/governance/policy/overview
azure	foundation	azure-entra-id	https://learn.microsoft.com/ja-jp/entra/identity/
azure	foundation	azure-monitor-logs	https://learn.microsoft.com/ja-jp/azure/azure-monitor/logs/data-platform-logs
azure	foundation	azure-cost-management	https://learn.microsoft.com/ja-jp/azure/cost-management-billing/costs/overview-cost-management
azure	shared-platform	azure-aks-best-practices	https://learn.microsoft.com/ja-jp/azure/aks/best-practices
azure	shared-platform	azure-managed-grafana	https://learn.microsoft.com/ja-jp/azure/managed-grafana/overview
azure	shared-platform	azure-key-vault-best-practices	https://learn.microsoft.com/ja-jp/azure/key-vault/general/best-practices
azure	product	azure-well-architected	https://learn.microsoft.com/ja-jp/azure/well-architected/
azure	product	azure-postgresql-flexible	https://learn.microsoft.com/ja-jp/azure/postgresql/flexible-server/overview
azure	product	azure-cache-redis	https://learn.microsoft.com/ja-jp/azure/azure-cache-for-redis/cache-overview
gcp	foundation	gcp-landing-zones	https://cloud.google.com/architecture/landing-zones?hl=ja
gcp	foundation	gcp-resource-hierarchy	https://cloud.google.com/resource-manager/docs/cloud-platform-resource-hierarchy?hl=ja
gcp	foundation	gcp-org-policy	https://cloud.google.com/resource-manager/docs/organization-policy/overview?hl=ja
gcp	foundation	gcp-cloud-identity	https://cloud.google.com/identity/docs/overview?hl=ja
gcp	foundation	gcp-audit-logs	https://cloud.google.com/logging/docs/audit?hl=ja
gcp	foundation	gcp-billing	https://cloud.google.com/billing/docs/concepts?hl=ja
gcp	shared-platform	gcp-gke-best-practices	https://cloud.google.com/kubernetes-engine/docs/best-practices?hl=ja
gcp	shared-platform	gcp-cloud-monitoring	https://cloud.google.com/monitoring/docs/monitoring-overview?hl=ja
gcp	shared-platform	gcp-secret-manager	https://cloud.google.com/secret-manager/docs/best-practices?hl=ja
gcp	product	gcp-architecture-framework	https://cloud.google.com/architecture/framework?hl=ja
gcp	product	gcp-cloud-sql-postgresql	https://cloud.google.com/sql/docs/postgres/concepts?hl=ja
gcp	product	gcp-memorystore-redis	https://cloud.google.com/memorystore/docs/redis/overview?hl=ja
